AOBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
120,Olney Recreation Center,Olney Recreation Center,Olney Recreation Center,100 E GODFREY AVE,Land,Recreation Center, ,593334.3194,13.6211362,19120, , , ,12-Nov-13,Vanessa Miller,PPR,,Olney 
121,Wakefield Park,Wakefield Park,Wakefield Park,5300 N 16TH ST,Land,Park- Neighborhood, ,560017.9278,12.85629403,19141, ,1919, ,12-Nov-13,Vanessa Miller,PPR,,Wakefield Park
122,Russo Park Playground,Russo Park Playground,Russo Park Playground,7301 TORRESDALE AVE,Land,Recreation Site, ,543650.7926,12.4805548,19136,Tacony Park, , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Mayfair Athletic Club,Russo Park 
123,Max Myers Playground,Max Myers Playground,Max Myers Playground,1601 HELLERMAN ST,Land,Recreation Site, ,538693.2066,12.36674383,19149, , , ,12-Nov-13,Vanessa Miller,PPR,,Max Myers 
124,Chalfont Playground,Chalfont Playground,Chalfont Playground,4336 DEERPATH LA,Land,Recreation Site, ,538428.7787,12.36067338,19154, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Our Lady of Calvary Athletic Assn,Chalfont 
125,Gustine Recreation Center,Gustine Recreation Center,Gustine Recreation Center,4868 RIDGE AVE,Land,Recreation Center, ,528104.864,12.12366796,19129, ,1870, ,12-Nov-13,Vanessa Miller,PPR,,Gustine
126,Vine Street Park,Vine Street Park,Vine Street Park,VINE STREET EXP,Land,Park- Linear\Parkway, ,525083.7588,12.05431265,19107, ,1985, ,12-Nov-13,Vanessa Miller,PPR,,Vine Street Park
127,Clarence H Clark Park,Clarence H Clark Park,Clarence H Clark Park,4301 CHESTER AVE,Land,Park- Neighborhood, ,524199.6428,12.03401606,19104, , , ,12-Nov-13,Vanessa Miller,PPR,,Clark Park
128,Lackman Playground,Lackman Playground,Lackman Playground,800 BARTLETT ST,Land,Recreation Site, ,510559.85,11.72088825,19115, , , ,12-Nov-13,Vanessa Miller,PPR,,Lackman 
129,Gambrell Playground,Gambrell Playground,Gambrell Playground,1900 WAKELING ST,Land,Recreation Site, ,502889.4172,11.54479864,19124,White Hall Commons, , ,12-Nov-13,Vanessa Miller,PPR,,Gambrell 
130,Eastwick Park,Eastwick Park,Eastwick Park,7401 LINDBERGH BLV,Land,Park- Neighborhood, ,492615.3192,11.30893686,19153,Suffolk Park, , ,12-Nov-13,Vanessa Miller,PPR,,Eastwick Park
131,Carmella Playground,Carmella Playground,Carmella Playground,2100 WAKELING ST,Land,Recreation Site, ,488784.1068,11.22098397,19124, , , ,12-Nov-13,Vanessa Miller,PPR,,Carmella 
132,Pelbano Playground,Pelbano Playground,Pelbano Playground,8101 BUSTLETON AVE,Land,Recreation Site, ,486248.4251,11.1627725,19152, , , ,12-Nov-13,Vanessa Miller,PPR,,Pelbano 
133,Ferko Playground,Ferko Playground,Tacony Creek Park,1101 E CAYUGA ST,Land,Recreation Site, ,473897.7946,10.8792399,19124,Juniata Park,1915, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Juniata Boys Club,Ferko 
134,Germany Hill,Germany Hill,Germany Hill,4849 SMICK ST,Land,Park- Watershed\Conservation, ,471616.5748,10.82687009,19128, ,1975, ,12-Nov-13,Vanessa Miller,PPR,,Germany Hill
135,Jardel Recreation Center,Jardel Recreation Center,Jardel Recreation Center,1400 COTTMAN AVE,Land,Recreation Center, ,469526.0186,10.77887733,19111, , , ,12-Nov-13,Vanessa Miller,PPR,,Jardel 
136,Cobbs Creek Driving Range & Sports Center,Cobbs Creek Driving Range & Sports Center,Cobbs Creek Park,7900 CITY AVE,Land,Golf,Golf Driving Range,465746.5834,10.6921131,19151, ,1904-1928, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Billy Casper Golf, LLC",Cobbs Creek Park
137,Boyle Recreation Center,Boyle Recreation Center,Boyle Recreation Center,13024 STEVENS RD,Land,Recreation Center, ,465720.5618,10.69151572,19116, , , ,12-Nov-13,Vanessa Miller,PPR,,Boyle
138,Stenton Park Playground,Stenton Park Playground,Stenton Park Playground,4600 N 16TH ST,Land,Recreation Site, ,462852.0214,10.62566283,19140, , , ,12-Nov-13,Vanessa Miller,PPR,,Stenton Park 
139,Holme Playground,Holme Playground,Holme Playground,9152 ACADEMY RD,Land,Recreation Site, ,444752.5851,10.21015528,19114, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Penn Crisp,Holme 
140,Papa Playground,Papa Playground,Cobbs Creek Park,6839 LANSDOWNE AVE,Land,Recreation Site, ,456613.6918,10.48244991,19151, ,1911-1929, ,12-Nov-13,Vanessa Miller,PPR,,Papa 
141,Water Tower Recreation Center,Water Tower Recreation Center,Water Tower Recreation Center,209-99 E HARTWELL LA,Land,Recreation Center, ,416212.0816,9.55495286,19118, , , ,12-Nov-13,Vanessa Miller,PPR,,Water Tower
142,Ramp Playground,Ramp Playground,Ramp Playground,3300-40 SOLLY AVE,Land,Recreation Site, ,413121.3994,9.48400027,19136, , , ,12-Nov-13,Vanessa Miller,PPR,,Ramp 
143,Pepper School Playground,Pepper School Playground,Pepper School Playground,2801 S 84TH ST,Land,Recreation Site, ,412008.9612,9.4584621,19153, , , ,12-Nov-13,Vanessa Miller,PPR,,Pepper School 
144,Picariello Playground,Picariello Playground,Picariello Playground,3325 RED LION RD,Land,Recreation Site, ,411082.4719,9.43719275,19154, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Liberty Bell Youth Organization,Picariello 
145,Lee Cultural Center,Lee Cultural Center,Lee Cultural Center,4310 HAVERFORD AVE,Land,Recreation Center, ,409534.9288,9.40166591,19104, , , ,12-Nov-13,Vanessa Miller,PPR,,Lee Cultural Center
146,Reyburn Park,Reyburn Park,Reyburn Park,1950 W LEHIGH AVE,Land,Park- Neighborhood, ,308129.3574,7.073705,19132, , , ,12-Nov-13,Vanessa Miller,PPR,,Reyburn Park
147,Trumbette Playground,Trumbette Playground,Trumbette Playground,9050 TORRESDALE AVE,Land,Recreation Site, ,391367.0578,8.98458731,19136, , , ,12-Nov-13,Vanessa Miller,PPR,,Trumbette 
148,Tarken Recreation Center,Tarken Recreation Center,Tarken Recreation Center,6250 FRONTENAC ST,Land,Recreation Center, ,387173.8585,8.88832431,19111, , , ,12-Nov-13,Vanessa Miller,PPR,,Tarken
149,33rd & Oxford Driving Range,33rd & Oxford Driving Range,East Fairmount Park,3300 RESERVOIR DR,Land,Golf,Golf Driving Range,384333.6348,8.82312149,19121, ,1844, ,12-Nov-13,Vanessa Miller,PPR,,33rd & Oxford Driving Range
150,Houseman Playground,Houseman Playground,Houseman Playground,5091 SUMMERDALE AVE,Land,Recreation Site, ,377950.9027,8.67659354,19124, , , ,12-Nov-13,Vanessa Miller,PPR,,Houseman 
151,Houston Playground,Houston Playground,Wissahickon Valley Park,900 GRAKYN LA,Land,Recreation Site, ,371861.0036,8.53678813,19128, ,1867, ,12-Nov-13,Vanessa Miller,PPR,,Houston 
152,Vernon Park,Vernon Park,Vernon Park,5710-18 GERMANTOWN AVE,Land,Park- Neighborhood, ,365284.3712,8.38580882,19144, , , ,12-Nov-13,Vanessa Miller,PPR,,Vernon Park
153,Shepard Recreation Center,Shepard Recreation Center,Shepard Recreation Center,5700 HAVERFORD AVE,Land,Recreation Center, ,357336.5338,8.20335085,19139,Haddington Recreation Center, , ,12-Nov-13,Vanessa Miller,PPR,,Shepard
154,Penn Treaty Park,Penn Treaty Park,Penn Treaty Park,1201-1301 BEACH ST,Land,Park- Neighborhood, ,355385.4245,8.15855937,19125, ,1894, ,12-Nov-13,Vanessa Miller,PPR,,Penn Treaty Park
155,Wingohocking Park,Wingohocking Park,Wingohocking Park,4101 OLD YORK RD,Land,Park- Community, ,350484.8445,8.04605708,19140, ,1854, ,12-Nov-13,Vanessa Miller,PPR,,Wingohocking Park
156,Kendrick Recreation Center,Kendrick Recreation Center,Kendrick Recreation Center,5822-24 RIDGE AVE,Land,Recreation Center, ,349959.6315,8.0339998,19128, , , ,12-Nov-13,Vanessa Miller,PPR,,Kendrick 
157,Kemble Park,Kemble Park,Kemble Park,5641 OGONTZ AVE,Land,Park- Neighborhood, ,349277.8495,8.01834818,19141, ,1922, ,12-Nov-13,Vanessa Miller,PPR,,Kemble Park
158,Bridesburg Recreation Center,Bridesburg Recreation Center,Bridesburg Recreation Center,4625 RICHMOND ST,Land,Recreation Center, ,347120.3829,7.96881936,19137, , , ,12-Nov-13,Vanessa Miller,PPR,,Bridesburg 
159,Bradford Park,Bradford Park,Bradford Park,2400 FAUNCE ST,Land,Park- Mini, ,339331.927,7.7900203,19152, ,1980, ,12-Nov-13,Vanessa Miller,PPR,,Bradford Park
160,Cobbs Creek Recreation Center & Pool,Cobbs Creek Recreation Center & Pool,Cobbs Creek Park,250 S 63RD ST,Land,Recreation Center, ,334325.213,7.6750815,19139, , , ,12-Nov-13,Vanessa Miller,PPR,,Cobbs Creek Park
161,Myers Recreation Center,Myers Recreation Center,Myers Recreation Center,5800 CHESTER AVE,Land,Recreation Center, ,331155.857,7.60232281,19143, , , ,12-Nov-13,Vanessa Miller,PPR,,Myers
162,Somerton Woods,Somerton Woods,Somerton Woods,900 WELTON ST,Land,Park- Watershed\Conservation, ,330678.7207,7.59136922,19116, ,1988, ,12-Nov-13,Vanessa Miller,PPR,,Somerton Woods
163,Smith Playground,Smith Playground,Smith Playground,2200 S 24TH ST,Land,Recreation Site, ,328564.1764,7.54282577,19145,Wilson Park, , ,12-Nov-13,Vanessa Miller,PPR,,Smith 
164,Rittenhouse Square,Rittenhouse Square,Rittenhouse Square,1800 WALNUT ST,Land,Park- Square\Plaza, ,319421.1797,7.33293061,19103, ,1915, ,12-Nov-13,Vanessa Miller,PPR,,Rittenhouse Square
165,Rose Playground,Rose Playground,Cobbs Creek Park,7401 LANSDOWNE AVE,Land,Recreation Site, ,318784.7383,7.31831987,19151, ,1920, ,12-Nov-13,Vanessa Miller,PPR,,Rose 
166,Loudoun Park,Loudoun Park,Loudoun Park,4650 GERMANTOWN AVE,Land,Park- Mini, ,318723.5093,7.31691424,19144, ,1939, ,12-Nov-13,Vanessa Miller,PPR,,Loudoun Park
167,Elmwood Park,Elmwood Park,Elmwood Park,7101 DICKS AVE,Land,Park- Neighborhood, ,315138.478,7.23461291,19142, , , ,12-Nov-13,Vanessa Miller,PPR,,Elmwood Park
168,McDevitt Recreation Center,McDevitt Recreation Center,McDevitt Recreation Center,3500 CRAWFORD ST,Land,Recreation Center, ,314445.2273,7.218698,19129, , , ,12-Nov-13,Vanessa Miller,PPR,,McDevitt
169,Washington Square,Washington Square,Washington Square,600 WALNUT ST,Land,Park- Square\Plaza, ,313118.1097,7.18823145,19106, ,1915, ,12-Nov-13,Vanessa Miller,PPR,,Washington Square
170,Ziehler Playground,Ziehler Playground,Ziehler Playground,200-64 E OLNEY AVE,Land,Recreation Site, ,311395.118,7.14867685,19120, , , ,12-Nov-13,Vanessa Miller,PPR,,Zeihler 
171,Franklin Square,Franklin Square,Franklin Square,200 N 06TH ST,Land,Park- Square\Plaza, ,294605.1192,6.76322997,19106, ,1915, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Historic Philadelphia, Inc.",Franklin Square
172,Mitchell Playground,Mitchell Playground,Mitchell Playground,3694 CHESTERFIELD RD,Land,Recreation Site, ,292337.1737,6.7111649,19114, , , ,12-Nov-13,Vanessa Miller,PPR,,Mitchell 
173,Finley Recreation Center,Finley Recreation Center,Finley Recreation Center,7701 MANSFIELD AVE,Land,Recreation Center, ,289670.9899,6.6499575,19150,Whitehall Commons, , ,12-Nov-13,Vanessa Miller,PPR,,Finley
174,Von Colln Field,Von Colln Field,Benjamin Franklin Parkway,2250 PENNSYLVANIA AVE,Land,Athletic,Baseball Field,283184.465,6.50104678,19130, ,1917-1928, ,12-Nov-13,Vanessa Miller,PPR,,Von Colln Field
175,Norris Square,Norris Square,Norris Square,2100-60 N HOWARD ST,Land,Park- Square\Plaza, ,278811.9223,6.40066661,19122, , , ,12-Nov-13,Vanessa Miller,PPR,,Norris Square
176,Gifford Playground,Gifford Playground,Gifford Playground,575 TOMLINSON RD,Land,Recreation Site, ,278785.0977,6.4000508,19116, , , ,12-Nov-13,Vanessa Miller,PPR,,Gifford 
177,McPherson Square,McPherson Square,McPherson Square,601 E INDIANA AVE,Land,Park- Square\Plaza, ,278396.5114,6.39113005,19134, , , ,12-Nov-13,Vanessa Miller,PPR,,McPherson Square
178,Morris Estate Recreation Center,Morris Estate Recreation Center,Morris Estate Recreation Center,1610 CHELTEN AVE,Land,Recreation Center, ,277967.3714,6.38127831,19141, , , ,12-Nov-13,Vanessa Miller,PPR,,Morris Estate
179,McVeigh Recreation Center,McVeigh Recreation Center,McVeigh Recreation Center,400-64 E ONTARIO ST,Land,Recreation Center, ,276128.0074,6.33905215,19134,McKinley Playground, , ,12-Nov-13,Vanessa Miller,PPR,,McVeigh 
180,Malcolm X Memorial Park,Malcolm X Memorial Park,Malcolm X Memorial Park,5100 PINE ST,Land,Park- Square\Plaza, ,274331.9993,6.29782132,19143,Black Oak Park, , ,12-Nov-13,Vanessa Miller,PPR,,Malcolm X Memorial Park
181,Scanlon Recreation Center,Scanlon Recreation Center,Scanlon Recreation Center,1099 E TIOGA ST,Land,Recreation Center, ,273522.0863,6.2792282,19134,Webster Playground, , ,12-Nov-13,Vanessa Miller,PPR,,Scanlon
182,Water Works,Water Works,East Fairmount Park,650 WATER WORKS DR,Land,Park- Regional/Watershed, ,267165.0642,6.13329047,19130, ,1844, ,12-Nov-13,Vanessa Miller,PPR,,Water Works
183,McArdle Recreation Center,McArdle Recreation Center,McArdle Recreation Center,8930 ASHTON RD,Land,Recreation Center, ,267319.3387,6.13683214,19152, , , ,12-Nov-13,Vanessa Miller,PPR,,McArdle
184,Piccoli Playground,Piccoli Playground,Piccoli Playground,1501 E BRISTOL ST,Land,Recreation Site, ,262595.8227,6.0283947,19124, , , ,12-Nov-13,Vanessa Miller,PPR,,Piccoli 
185,Mayfair Playground,Mayfair Playground,Mayfair Playground,2901 PRINCETON AVE,Land,Recreation Site, ,289909.2834,6.65542799,19149, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,Mayfair Community Development Corp,Mayfair 
186,Cliveden Park,Cliveden Park,Cliveden Park,501 E JOHNSON ST,Land,Park- Neighborhood, ,260101.3626,5.97112955,19119, , , ,12-Nov-13,Vanessa Miller,PPR,,Cliveden
187,Sturgis Playground,Sturgis Playground,Sturgis Playground,200-20 W 65TH AVE,Land,Recreation Site, ,254829.6178,5.85010645,19126, , , ,12-Nov-13,Vanessa Miller,PPR,,Sturgis 
188,Old Line Park,Old Line Park,Old Line Park,8730 OLD LINE RD,Land,Park- Neighborhood, ,253104.8535,5.81051115,19128, ,2005, ,12-Nov-13,Vanessa Miller,PPR,,Old Line Park
189,Barrett Playground,Barrett Playground,Barrett Playground,641 LINDLEY AVE,Land,Recreation Site, ,252442.3495,5.7953021,19120,Lindley Playground, , ,12-Nov-13,Vanessa Miller,PPR,,Barrett 
190,McCreesh Playground,McCreesh Playground,McCreesh Playground,6744 REGENT ST,Land,Recreation Site, ,251684.1499,5.77789616,19142, , , ,12-Nov-13,Vanessa Miller,PPR,,McCreesh 
191,Parkside-Evans Recreation Center,Parkside-Evans Recreation Center,West Fairmount Park,5301 PARKSIDE AVE,Land,Recreation Center, ,185275.3178,4.25335305,19131, ,1866, ,12-Nov-13,Vanessa Miller,PPR,,Parkside-Evans  
192,Carroll Park,Carroll Park,Carroll Park,5801 W GIRARD AVE,Land,Park- Square\Plaza, ,245194.9466,5.62892395,19131, , , ,12-Nov-13,Vanessa Miller,PPR,,Carroll Park
193,Clearview Park,Clearview Park,Clearview Park,7600 BUIST AVE,Land,Park- Mini, ,243694.5334,5.59447907,19153, , , ,12-Nov-13,Vanessa Miller,PPR,,Clearview Park
194,Rivera Recreation Center,Rivera Recreation Center,Rivera Recreation Center,3201 N 05TH ST,Land,Recreation Center, ,238678.4803,5.47932587,19140,Mann Recreation Center, , ,12-Nov-13,Vanessa Miller,PPR,,Rivera
195,Roosevelt Playground,Roosevelt Playground,Roosevelt Playground,4301 LEVICK ST,Land,Recreation Site, ,237987.5955,5.46346528,19135, , , ,12-Nov-13,Vanessa Miller,PPR,,Roosevelt 
196,Cherashore Playground,Cherashore Playground,Cherashore Playground,851 W OLNEY AVE,Land,Recreation Site, ,233012.8232,5.34925976,19141, , , ,12-Nov-13,Vanessa Miller,PPR,,Cherashore 
197,Barnes Foundation Museum,Barnes Foundation Museum,Benjamin Franklin Parkway,2051 BENJAMIN FRANKLIN PKY,Land,Museum, ,232547.5641,5.33857884,19130, ,1917-1928, ,12-Nov-13,Vanessa Miller,Lessee/Tenants,PAID Barnes Foundation,Barnes Foundation Museum
198,Granahan Playground,Granahan Playground,Cobbs Creek Park,338-50 N 65TH ST,Land,Recreation Site, ,232036.695,5.32685085,19151, ,1904-1928, ,12-Nov-13,Vanessa Miller,PPR,,Granahan 
199,Connell Park,Connell Park,Connell Park,6401 ELMWOOD AVE,Land,Park- Mini, ,231775.8568,5.32086281,19142, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,(Schools Without Borders) ACES Million Books,Connell Park
200,West Mill Creek,West Mill Creek,West Mill Creek,5100 WESTMINSTER AVE,Land,Park- Neighborhood, ,229170.2372,5.26104577,19139, , , ,12-Nov-13,Vanessa Miller,PPR,,West Mill Creek
201,Lonnie Young Recreation Center,Lonnie Young Recreation Center,Lonnie Young Recreation Center,1100 E CHELTEN AVE,Land,Recreation Center, ,228470.8271,5.24498946,19138,East Germantown Recreation Center, , ,12-Nov-13,Vanessa Miller,PPR,,Lonnie Young
202,Carousel House Recreation Center,Carousel House,West Fairmount Park,1701 BELMONT AVE,Land,Recreation Center,Regional\Watershed,228438.4292,5.24424571,19131, ,1866, ,12-Nov-13,Vanessa Miller,PPR,,Carousel House
203,Fitzpatrick Playground,Fitzpatrick Playground,Fitzpatrick Playground,3500 ACADEMY RD,Land,Recreation Site, ,227680.7558,5.22685185,19154, , , ,12-Nov-13,Vanessa Miller,PPR,,Fitzpatrick 
204,11th & Columbia Playground,11th & Columbia Playground,11th & Columbia Playground,1001-33 CECIL B MOORE AVE,Land,Recreation Site, ,226467.5182,5.19899963,19122, , , ,12-Nov-13,Vanessa Miller,PPR,,11th & Columbia 
205,Waterview Recreation Center,Waterview Recreation Center,Waterview Recreation Center,5826 MC MAHON AVE,Land,Recreation Center, ,225540.6436,5.17772144,19144, , , ,12-Nov-13,Vanessa Miller,PPR,,Waterview 
206,Cohocksink Recreation Center,Cohocksink Recreation Center,Cohocksink Recreation Center,2901 CEDAR ST,Land,Recreation Center, ,222722.36,5.11302229,19134, , , ,12-Nov-13,Vanessa Miller,PPR,,Cohocksink 
207,McMichael Park,McMichael Park,McMichael Park,3201-45 MIDVALE AVE,Land,Park- Neighborhood, ,221488.3492,5.08469319,19129, ,1929, ,12-Nov-13,Vanessa Miller,PPR,,McMichael Park
208,Fotteral Square,Fotteral Square,Fotteral Square,2400 N 11TH ST,Land,Park- Square\Plaza, ,220967.6235,5.07273892,19133, , , ,12-Nov-13,Vanessa Miller,PPR,,Fotteral Square
209,Murphy Recreation Center,Murphy Recreation Center,Murphy Recreation Center,300 SHUNK ST,Land,Recreation Center, ,216369.9984,4.96719155,19148,Greenwich Recreation Center, , ,12-Nov-13,Vanessa Miller,PPR,,Murphy
210,Harrowgate Park,Harrowgate Park,Harrowgate Park,3455 KENSINGTON AVE,Land,Park- Neighborhood, ,213977.7755,4.91227345,19134,Gates Park, , ,12-Nov-13,Vanessa Miller,PPR,,Harrowgate Park
211,48th & Woodland Playground,48th & Woodland Playground,48th & Woodland Playground,4740 WOODLAND AVE,Land,Recreation Site, ,213352.4126,4.89791703,19143,Comegys Playground, , ,12-Nov-13,Vanessa Miller,PPR,,48th & Woodland 
212,East Poplar Playground,East Poplar Playground,East Poplar Playground,800 N 08TH ST,Land,Recreation Site, ,210877.2304,4.84109444,19123, , , ,12-Nov-13,Vanessa Miller,PPR,,East Poplar 
213,Cruz Recreation Center,Cruz Recreation Center,Cruz Recreation Center,1400-52 N 05TH ST,Land,Recreation Center, ,209518.3508,4.80989873,19122, , , ,12-Nov-13,Vanessa Miller,PPR,,Cruz
214,Holmesburg Playground,Holmesburg Playground,Holmesburg Playground,4500 RHAWN ST,Land,Recreation Site, ,207862.1714,4.77187793,19136, , , ,12-Nov-13,Vanessa Miller,Lessee/Tenants,"Archdiocese of Philadelphia, fields",Holmesburg 
215,Lardner's Point Park,Lardner's Point Park,Lardner's Point Park,5202 LEVICK ST,Land,Park- Community, ,207079.2584,4.75390465,19135, ,2005, ,12-Nov-13,Vanessa Miller,PPR,,Lardner's Point Park
216,Cione Playground,Cione Playground,Cione Playground,2600 ARAMINGO AVE,Land,Recreation Site, ,207006.7197,4.75223939,19125,Aramingo Sqaure, , ,12-Nov-13,Vanessa Miller,PPR,,Cione 
217,Pleasant Playground,Pleasant Playground,Pleasant Playground,6750 BOYER ST,Land,Recreation Site, ,206049.6572,4.73026817,19119, , , ,12-Nov-13,Vanessa Miller,PPR,,Pleasant 
218,Athletic Recreation Center,Athletic Recreation Center,Athletic Recreation Center,1401-55 N 27TH ST,Land,Recreation Center, ,204864.3444,4.70305702,19121, , , ,12-Nov-13,Vanessa Miller,PPR,,Athletic
219,Ottinger Tract,Ottinger Tract,Ottinger Tract,7808 NIXON ST,Land,Park- Watershed\Conservation, ,204768.2303,4.70085054,19128, ,1976, ,12-Nov-13,Vanessa Miller,PPR,,Ottinger Tract
220,Happy Hollow Playground,Happy Hollow Playground,Happy Hollow Playground,4800 WAYNE AVE,Land,Recreation Site, ,203810.3204,4.67885986,19144, , , ,12-Nov-13,Vanessa Miller,PPR,,Happy Hollow 
221,Baldi School Playground,Baldi School Playground,Baldi School Playground,8725 VERREE RD,Land,Recreation Site, ,201404.5179,4.62363002,19115, , , ,12-Nov-13,Vanessa Miller,PPR,,Baldi School 
222,Simpson Playground,Simpson Playground,Simpson Playground,1010 ARROTT ST,Land,Recreation Site, ,199801.3794,4.58682687,19124, , , ,12-Nov-13,Vanessa Miller,PPR,,Simpson 
223,Monkiewicz Playground,Monkiewicz Playground,Monkiewicz Playground,3201 RICHMOND ST,Land,Recreation Site, ,430912.2225,9.89242301,19134, , , ,12-Nov-13,Vanessa Miller,PPR,,Monkiewicz 
224,Tustin Playground,Tustin Playground,Tustin Playground,5901-29 W COLUMBIA AVE,Land,Recreation Site, ,188748.7,4.33309125,19151, , , ,12-Nov-13,Vanessa Miller,PPR,,Tustin 
225,Wharton Square Playground,Wharton Square Playground,Wharton Square Playground,1300 S 23RD ST,Land,Recreation Site, ,187321.0306,4.30031634,19146, , , ,12-Nov-13,Vanessa Miller,PPR,,Wharton Square 
226,Mifflin Square,Mifflin Square,Mifflin Square,500 WOLF ST,Land,Park- Square\Plaza, ,181727.0639,4.17189602,19148, , , ,12-Nov-13,Vanessa Miller,PPR,,Mifflin Square
227,Belfield Recreation Center,Belfield Recreation Center,Belfield Recreation Center,2109 W CHEW AVE,Land,Recreation Center, ,180312.5397,4.13942289,19138, , , ,12-Nov-13,Vanessa Miller,PPR,,Belfield
